wandler_key,folder,phase,target_load,nennstrom,val_ref_mean,val_ref_std,val_dut_mean,val_dut_std,dut_name,ref_name,comparison_mode,raw_file,trace_id,err_ratio,err_std,unique_id,legend_name,color_hex
MBS ASK101.4_8R1,01_Parallel,L1,5,2000.0,99.53648712158204,23.72416411678784,99.69311083984375,23.66064865545489,PAC2,PAC1,device_ref,2025_12_04_1415-MBS-ASK101.4-2000A-8R1_sortiert.csv,"MBS ASK101.4 | PAC2 | 8,1 Ω | Parallel",0.15735307000577575,23.77082951154769,MBS ASK101.4_8R1 - 01_Parallel | PAC2,"MBS ASK101.4 | PAC2 | 8,1 Ω | Parallel",#1f4e8c
Redur 13A1030.3ffp_0R0,01_Parallel,L2,5,2000.0,101.43174723815919,12.285865548313588,102.16130198669434,12.39079727165512,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.7192568090364986,12.215896510746129,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L3,5,2000.0,101.17780085754394,7.45016819549423,101.83114862060549,7.523135960724921,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.6457422058238304,7.435559872780123,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L1,20,2000.0,399.79585552978523,9.66191777957203,400.57705126953135,9.549963984545586,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.1953986588257477,2.388710101031576,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L2,20,2000.0,401.2407553710939,23.429831647030458,402.39519403076184,23.51094183871915,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.2877171982692185,5.859559759071504,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L3,20,2000.0,400.0138630371095,9.597921902451763,401.00491888427734,9.660721216445049,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.24775537518705995,2.415096602676697,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L1,100,2000.0,1999.3022778320326,10.480256809558584,1999.1287941894545,10.268798388257759,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",-0.008677209269534154,0.5136191011292627,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L2,100,2000.0,1998.5917319335947,11.62702145910448,1999.8887131347667,11.682491538950226,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.06489475466393534,0.5845361687575714,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L3,100,2000.0,1999.4776645507827,7.999748541094571,2001.2218293457042,8.055570545157943,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.08723102167352159,0.4028837474895108,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L1,120,2000.0,2399.305318359378,12.15693047428742,2398.8589355468775,12.088955395015395,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",-0.01860466898833836,0.5038523151893693,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
Redur 13A1030.3ffp_0R0,01_Parallel,L2,120,2000.0,2401.622329101565,5.894493993717514,2402.4999970703147,5.929245564901574,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.03654479549572553,0.24688501156298276,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
